買賣租管;ㄇㄞㄇㄞㄗㄨㄍㄨㄢ;maimaizuguan
馮靜地產經紀;ㄈㄥㄐ一ㄥㄉ一ㄔㄢㄐ一ㄥㄐ一,ㄈㄥㄐ一ㄥㄉㄜㄔㄢㄐ一ㄥㄐ一;fengjingdechanjingji,fengjingdichanjingji
折扣券;ㄓㄜㄎㄡㄑㄩㄢ,ㄕㄜㄎㄡㄑㄩㄢ;zhekouquan,shekouquan
UTOPIA有機保健品;UTOPIA一ㄡㄐ一ㄅㄠㄐ一ㄢㄆ一ㄣ;UTOPIAyoujibaojianpin
肉類海鮮;ㄖㄡㄌㄟㄏㄞㄒ一ㄢ;rouleihaixian
關節脫位;ㄍㄨㄢㄐ一ㄝㄊㄨㄛㄨㄟ;guanjietuowei
工業型;ㄍㄨㄥ一ㄝㄒ一ㄥ;gongyexing
省錢賺錢;ㄒ一ㄥㄑ一ㄢㄗㄨㄢㄑ一ㄢ,ㄒ一ㄥㄑ一ㄢㄓㄨㄢㄑ一ㄢ,ㄕㄥㄑ一ㄢㄗㄨㄢㄑ一ㄢ,ㄕㄥㄑ一ㄢㄓㄨㄢㄑ一ㄢ;xingqianzuanqian,xingqianzhuanqian,shengqianzuanqian,shengqianzhuanqian
家用太陽能;ㄐ一ㄚㄩㄥㄊㄞ一ㄤㄋㄥ;jiayongtaiyangneng
逾期稅表申報;ㄩㄑ一ㄕㄨㄟㄅ一ㄠㄕㄣㄅㄠ;yuqishuibiaoshenbao
建昌建材中心;ㄐ一ㄢㄔㄤㄐ一ㄢㄘㄞㄓㄨㄥㄒ一ㄣ;jianchangjiancaizhongxin
教學訓練;ㄐ一ㄠㄒㄩㄝㄒㄩㄣㄌ一ㄢ;jiaoxuexunlian
移樹;一ㄕㄨ;yishu
菜籽油;ㄘㄞㄗ一ㄡ;caiziyou
頸部;ㄐ一ㄥㄅㄨ;jingbu
華美婦產科人工流產手術專家─廖學時醫學博士;ㄏㄨㄚㄇㄟㄈㄨㄔㄢㄎㄜㄖㄣㄍㄨㄥㄌ一ㄡㄔㄢㄕㄡㄕㄨㄓㄨㄢㄐ一ㄚ─ㄌ一ㄠㄒㄩㄝㄕ一ㄒㄩㄝㄅㄛㄕ;huameifuchankerengongliuchanshoushuzhuanjia─liaoxueshiyixueboshi
徐小江房地產經紀;ㄒㄩㄒ一ㄠㄐ一ㄤㄈㄤㄉ一ㄔㄢㄐ一ㄥㄐ一,ㄒㄩㄒ一ㄠㄐ一ㄤㄈㄤㄉㄜㄔㄢㄐ一ㄥㄐ一;xuxiaojiangfangdechanjingji,xuxiaojiangfangdichanjingji
疫苗紀錄;一ㄇ一ㄠㄐ一ㄌㄨ;yimiaojilu
楊劭頤牙醫博士;一ㄤㄕㄠ一一ㄚ一ㄅㄛㄕ;yangshaoyiyayiboshi
聚會洽商;ㄐㄩㄏㄨㄟㄑ一ㄚㄕㄤ,ㄐㄩㄎㄨㄞㄑ一ㄚㄕㄤ;jukuaiqiashang,juhuiqiashang
微創植牙;ㄨㄟㄔㄨㄤㄓ一ㄚ;weichuangzhiya
網路報稅;ㄨㄤㄌㄨㄅㄠㄕㄨㄟ;wanglubaoshui
程式修改;ㄔㄥㄕㄒ一ㄡㄍㄞ;chengshixiugai
高等教師培訓顧問─燕嘗社;ㄍㄠㄉㄥㄐ一ㄠㄕ培ㄒㄩㄣㄍㄨㄨㄣ─一ㄢㄔㄤㄕㄜ;gaodengjiaoshi培xunguwen─yanchangshe
武氏規劃理財保險事務所─武凱平;ㄨㄕㄍㄨㄟㄏㄨㄚㄌ一ㄘㄞㄅㄠㄒ一ㄢㄕㄨㄙㄨㄛ─ㄨㄎㄞㄆ一ㄥ;wushiguihualicaibaoxianshiwusuo─wukaiping
全民牙科中心－李鳳甲牙醫師;ㄑㄩㄢㄇ一ㄣ一ㄚㄎㄜㄓㄨㄥㄒ一ㄣ－ㄌ一ㄈㄥㄐ一ㄚ一ㄚ一ㄕ;quanminyakezhongxin－lifengjiayayishi
樓宇配線;ㄌㄡㄩㄆㄟㄒ一ㄢ;louyupeixian
安葬儀式;ㄢㄗㄤ一ㄕ;anzangyishi
承接改建;ㄔㄥㄐ一ㄝㄍㄞㄐ一ㄢ;chengjiegaijian
落磯山脈;ㄌㄚㄐ一ㄕㄢㄇㄞ,ㄌㄨㄛㄐ一ㄕㄢㄇㄞ;luojishanmai,lajishanmai
屋頂工程;ㄨㄉ一ㄥㄍㄨㄥㄔㄥ;wudinggongcheng
滿堂紅─郝潔;ㄇㄢㄊㄤㄏㄨㄥ─ㄏㄠㄐ一ㄝ;mantanghong─haojie
醬油包;ㄐ一ㄤ一ㄡㄅㄠ;jiangyoubao
羅伯特‧吉士汀美容整型中心;ㄌㄨㄛㄅㄛㄊㄜ‧ㄐ一ㄕㄊ一ㄥㄇㄟㄖㄨㄥㄓㄥㄒ一ㄥㄓㄨㄥㄒ一ㄣ;luobote‧jishitingmeirongzhengxingzhongxin
陽光;一ㄤㄍㄨㄤ;yangguang
骨質疏鬆檢驗;ㄍㄨㄓㄕㄨㄙㄨㄥㄐ一ㄢ一ㄢ;guzhishusongjianyan
抗壓試驗;ㄎㄤ一ㄚㄕ一ㄢ;kangyashiyan
能量首飾;ㄋㄥㄌ一ㄤㄕㄡㄕ;nengliangshoushi
亮豪風水命理大師;ㄌ一ㄤㄏㄠㄈㄥㄕㄨㄟㄇ一ㄥㄌ一ㄉㄚㄕ,ㄌ一ㄤㄏㄠㄈㄥㄕㄨㄟㄇ一ㄥㄌ一ㄉㄞㄕ;lianghaofengshuiminglidaishi,lianghaofengshuiminglidashi
工商診療;ㄍㄨㄥㄕㄤㄓㄣㄌ一ㄠ;gongshangzhenliao
冬菇;ㄉㄨㄥㄍㄨ;donggu
蔡文華醫師;ㄘㄞㄨㄣㄏㄨㄚ一ㄕ;caiwenhuayishi
認證手續;ㄖㄣㄓㄥㄕㄡㄒㄩ;renzhengshouxu
換濾心;ㄏㄨㄢㄌㄩㄒ一ㄣ;huanlvxin
傢俱裝璜;ㄐ一ㄚㄐㄩㄓㄨㄤㄏㄨㄤ;jiajuzhuanghuang
牛肉粉之王;ㄋ一ㄡㄖㄡㄈㄣㄓㄨㄤ;niuroufenzhiwang
分離式冷氣;ㄈㄣㄌ一ㄕㄌㄥㄑ一;fenlishilengqi
黃園;ㄏㄨㄤㄩㄢ;huangyuan
手足麻痺刺痛;ㄕㄡㄗㄨㄇㄚㄅㄟㄘㄊㄨㄥ,ㄕㄡㄗㄨㄇㄚㄅ一ㄘㄊㄨㄥ;shouzumabeicitong,shouzumabicitong
肝衰竭;ㄍㄢㄕㄨㄞㄐ一ㄝ,ㄍㄢㄘㄨㄟㄐ一ㄝ;ganshuaijie,gancuijie
卓美留學;ㄓㄨㄛㄇㄟㄌ一ㄡㄒㄩㄝ;zhuomeiliuxue
薪資扣押;ㄒ一ㄣㄗㄎㄡ一ㄚ;xinzikouya
清除犯罪;ㄑ一ㄥㄔㄨㄈㄢㄗㄨㄟ;qingchufanzui
過度加班;ㄍㄨㄛㄉㄨㄐ一ㄚㄅㄢ;guodujiaban
UBC開發公司;UBCㄎㄞㄈㄚㄍㄨㄥㄙ;UBCkaifagongsi
填游泳池;ㄊ一ㄢ一ㄡㄩㄥㄔ;tianyouyongchi
精美油漆;ㄐ一ㄥㄇㄟ一ㄡㄑ一;jingmeiyouqi
鋼琴班;ㄍㄤㄑ一ㄣㄅㄢ;gangqinban
海外;ㄏㄞㄨㄞ;haiwai
加勒比海;ㄐ一ㄚㄌㄜㄅ一ㄏㄞ,ㄐ一ㄚㄌㄟㄅ一ㄏㄞ;jialeibihai,jialebihai
秋雨彩色印刷公司;ㄑ一ㄡㄩㄘㄞㄕㄞ一ㄣㄕㄨㄚㄍㄨㄥㄙ,ㄑ一ㄡㄩㄘㄞㄙㄜ一ㄣㄕㄨㄚㄍㄨㄥㄙ;qiuyucaishaiyinshuagongsi,qiuyucaiseyinshuagongsi
釣魚信息;ㄉ一ㄠㄩㄒ一ㄣㄒ一;diaoyuxinxi
學校醫院;ㄒㄩㄝㄐ一ㄠ一ㄩㄢ,ㄒㄩㄝㄒ一ㄠ一ㄩㄢ;xuexiaoyiyuan,xuejiaoyiyuan
花園灑水;ㄏㄨㄚㄩㄢㄙㄚㄕㄨㄟ;huayuansashui
化石桌子;ㄏㄨㄚㄉㄢㄓㄨㄛㄗ,ㄏㄨㄚㄕㄓㄨㄛㄗ;huashizhuozi,huadanzhuozi
餐館生意;ㄘㄢㄍㄨㄢㄕㄥ一;canguanshengyi
蒙特利公園月子中心;ㄇㄥㄊㄜㄌ一ㄍㄨㄥㄩㄢㄩㄝㄗㄓㄨㄥㄒ一ㄣ;mengteligongyuanyuezizhongxin
基督教恩光堂;ㄐ一ㄉㄨㄐ一ㄠㄣㄍㄨㄤㄊㄤ;jidujiaoenguangtang
基督復臨安息日會奇諾華人教會;ㄐ一ㄉㄨㄈㄨㄌ一ㄣㄢㄒ一ㄖㄏㄨㄟㄑ一ㄋㄨㄛㄏㄨㄚㄖㄣㄐ一ㄠㄏㄨㄟ,ㄐ一ㄉㄨㄈㄨㄌ一ㄣㄢㄒ一ㄖㄏㄨㄟㄑ一ㄋㄨㄛㄏㄨㄚㄖㄣㄐ一ㄠㄎㄨㄞ,ㄐ一ㄉㄨㄈㄨㄌ一ㄣㄢㄒ一ㄖㄏㄨㄟㄐ一ㄋㄨㄛㄏㄨㄚㄖㄣㄐ一ㄠㄏㄨㄟ,ㄐ一ㄉㄨㄈㄨㄌ一ㄣㄢㄒ一ㄖㄏㄨㄟㄐ一ㄋㄨㄛㄏㄨㄚㄖㄣㄐ一ㄠㄎㄨㄞ,ㄐ一ㄉㄨㄈㄨㄌ一ㄣㄢㄒ一ㄖㄎㄨㄞㄑ一ㄋㄨㄛㄏㄨㄚㄖㄣㄐ一ㄠㄏㄨㄟ,ㄐ一ㄉㄨㄈㄨㄌ一ㄣㄢㄒ一ㄖㄎㄨㄞㄑ一ㄋㄨㄛㄏㄨㄚㄖㄣㄐ一ㄠㄎㄨㄞ,ㄐ一ㄉㄨㄈㄨㄌ一ㄣㄢㄒ一ㄖㄎㄨㄞㄐ一ㄋㄨㄛㄏㄨㄚㄖㄣㄐ一ㄠㄏㄨㄟ,ㄐ一ㄉㄨㄈㄨㄌ一ㄣㄢㄒ一ㄖㄎㄨㄞㄐ一ㄋㄨㄛㄏㄨㄚㄖㄣㄐ一ㄠㄎㄨㄞ;jidufulinanxirikuaiqinuohuarenjiaokuai,jidufulinanxirikuaiqinuohuarenjiaohui,jidufulinanxirikuaijinuohuarenjiaokuai,jidufulinanxirikuaijinuohuarenjiaohui,jidufulinanxirihuiqinuohuarenjiaokuai,jidufulinanxirihuiqinuohuarenjiaohui,jidufulinanxirihuijinuohuarenjiaokuai,jidufulinanxirihuijinuohuarenjiaohui
工傷;ㄍㄨㄥㄕㄤ;gongshang
長榮物流;ㄓㄤㄖㄨㄥㄨㄌ一ㄡ,ㄔㄤㄖㄨㄥㄨㄌ一ㄡ;changrongwuliu,zhangrongwuliu
亞洲會計師事務所;一ㄚㄓㄡㄏㄨㄟㄐ一ㄕㄕㄨㄙㄨㄛ,一ㄚㄓㄡㄎㄨㄞㄐ一ㄕㄕㄨㄙㄨㄛ;yazhoukuaijishishiwusuo,yazhouhuijishishiwusuo
林令愷醫生－內科‧小兒科;ㄌ一ㄣㄌ一ㄥㄎㄞ一ㄕㄥ－ㄋㄟㄎㄜ‧ㄒ一ㄠㄦㄎㄜ;linlingkaiyisheng－neike‧xiaoerke
國際真愛家庭協會;ㄍㄨㄛㄐ一ㄓㄣㄞㄐ一ㄚㄊ一ㄥㄒ一ㄝㄏㄨㄟ,ㄍㄨㄛㄐ一ㄓㄣㄞㄐ一ㄚㄊ一ㄥㄒ一ㄝㄎㄨㄞ;guojizhenaijiatingxiekuai,guojizhenaijiatingxiehui
密碼設定;ㄇ一ㄇㄚㄕㄜㄉ一ㄥ;mimasheding
鷹爪蘭;一ㄥㄓㄨㄚㄌㄢ;yingzhualan
化妝教學;ㄏㄨㄚㄓㄨㄤㄐ一ㄠㄒㄩㄝ;huazhuangjiaoxue
牛皮癬克星;ㄋ一ㄡㄆ一ㄒㄩㄢㄎㄜㄒ一ㄥ;niupixuankexing
購物中心買賣;ㄍㄡㄨㄓㄨㄥㄒ一ㄣㄇㄞㄇㄞ;gouwuzhongxinmaimai
蝦片;ㄒ一ㄚㄆ一ㄢ;xiapian
卡通;ㄎㄚㄊㄨㄥ,ㄑ一ㄚㄊㄨㄥ;katong,qiatong
AQSIQ證照;AQSIQㄓㄥㄓㄠ;AQSIQzhengzhao
收緊臉部皮膚;ㄕㄡㄐ一ㄣㄌ一ㄢㄅㄨㄆ一ㄈㄨ;shoujinlianbupifu
楊汝龍律師事務所;一ㄤㄖㄨㄌㄨㄥㄌㄩㄕㄕㄨㄙㄨㄛ;yangrulonglvshishiwusuo
股東糾紛;ㄍㄨㄉㄨㄥㄐ一ㄡㄈㄣ;gudongjiufen
亞凱迪亞市足科診所;一ㄚㄎㄞㄉ一一ㄚㄕㄗㄨㄎㄜㄓㄣㄙㄨㄛ;yakaidiyashizukezhensuo
長江餐廳;ㄓㄤㄐ一ㄤㄘㄢㄊ一ㄥ,ㄔㄤㄐ一ㄤㄘㄢㄊ一ㄥ;changjiangcanting,zhangjiangcanting
開鎖服務;ㄎㄞㄙㄨㄛㄈㄨㄨ,ㄎㄞㄙㄨㄛㄅ一ㄨ;kaisuobiwu,kaisuofuwu
中國赴美考察團;ㄓㄨㄥㄍㄨㄛㄈㄨㄇㄟㄎㄠㄔㄚㄊㄨㄢ;zhongguofumeikaochatuan
門鎖;ㄇㄣㄙㄨㄛ;mensuo
加拿大總領事館;ㄐ一ㄚㄋㄚㄉㄚㄗㄨㄥㄌ一ㄥㄕㄍㄨㄢ,ㄐ一ㄚㄋㄚㄉㄞㄗㄨㄥㄌ一ㄥㄕㄍㄨㄢ;jianadaizonglingshiguan,jianadazonglingshiguan
工具;ㄍㄨㄥㄐㄩ;gongju
庇護找工作;ㄅ一ㄏㄨㄓㄠㄍㄨㄥㄗㄨㄛ;bihuzhaogongzuo
兄弟鈑金‧噴漆‧貼膜;ㄒㄩㄥㄉ一ㄅㄢㄐ一ㄣ‧ㄆㄣㄑ一‧ㄊ一ㄝㄇㄛ;xiongdibanjin‧penqi‧tiemo
爾灣全心牙科;ㄦㄨㄢㄑㄩㄢㄒ一ㄣ一ㄚㄎㄜ;erwanquanxinyake
夜間收件;一ㄝㄐ一ㄢㄕㄡㄐ一ㄢ;yejianshoujian
美藝廣告招牌公司;ㄇㄟ一ㄍㄨㄤㄍㄠㄓㄠㄆㄞㄍㄨㄥㄙ;meiyiguanggaozhaopaigongsi
迎賓櫃;一ㄥㄅ一ㄣㄍㄨㄟ;yingbingui
MISSION桌布‧制服公司;MISSIONㄓㄨㄛㄅㄨ‧ㄓㄈㄨㄍㄨㄥㄙ,MISSIONㄓㄨㄛㄅㄨ‧ㄓㄅ一ㄍㄨㄥㄙ;MISSIONzhuobu‧zhibigongsi,MISSIONzhuobu‧zhifugongsi
全美植牙中心─潘榮豐醫師;ㄑㄩㄢㄇㄟㄓ一ㄚㄓㄨㄥㄒ一ㄣ─ㄆㄢㄖㄨㄥㄈㄥ一ㄕ;quanmeizhiyazhongxin─panrongfengyishi
高週波洗牙;ㄍㄠㄓㄡㄅㄟㄒ一一ㄚ,ㄍㄠㄓㄡㄅ一ㄒ一一ㄚ,ㄍㄠㄓㄡㄅㄛㄒ一一ㄚ;gaozhouboxiya,gaozhoubixiya,gaozhoubeixiya
豪宅;ㄏㄠㄓㄞ;haozhai
樹人印刷;ㄕㄨㄖㄣ一ㄣㄕㄨㄚ;shurenyinshua
珍珠批發;ㄓㄣㄓㄨㄆ一ㄈㄚ;zhenzhupifa
存款帳戶;ㄘㄨㄣㄎㄨㄢㄓㄤㄏㄨ;cunkuanzhanghu
吉嘉假期;ㄐ一ㄐ一ㄚㄐ一ㄚㄑ一;jijiajiaqi
近視預防;ㄐ一ㄣㄕㄩㄈㄤ;jinshiyufang
魚飼料;ㄩㄙㄌ一ㄠ;yusiliao
田園設計;ㄊ一ㄢㄩㄢㄕㄜㄐ一;tianyuansheji
駐美移民事務所;ㄓㄨㄇㄟ一ㄇ一ㄣㄕㄨㄙㄨㄛ;zhumeiyiminshiwusuo
混泥土;ㄏㄨㄣㄋ一ㄊㄨ;hunnitu
德基工程;ㄉㄜㄐ一ㄍㄨㄥㄔㄥ;dejigongcheng
餐館營業法;ㄘㄢㄍㄨㄢ一ㄥ一ㄝㄈㄚ;canguanyingyefa
合法省稅;ㄍㄜㄈㄚㄒ一ㄥㄕㄨㄟ,ㄍㄜㄈㄚㄕㄥㄕㄨㄟ,ㄏㄜㄈㄚㄒ一ㄥㄕㄨㄟ,ㄏㄜㄈㄚㄕㄥㄕㄨㄟ;gefaxingshui,gefashengshui,hefaxingshui,hefashengshui
台面板;ㄊㄞㄇ一ㄢㄅㄢ;taimianban
歐式油壓課程;ㄡㄕ一ㄡ一ㄚㄎㄜㄔㄥ;oushiyouyakecheng
寵物寄宿接送;ㄔㄨㄥㄨㄐ一ㄙㄨㄐ一ㄝㄙㄨㄥ,ㄔㄨㄥㄨㄐ一ㄒ一ㄡㄐ一ㄝㄙㄨㄥ;chongwujixiujiesong,chongwujisujiesong
解散;ㄐ一ㄝㄙㄢ,ㄒ一ㄝㄙㄢ;jiesan,xiesan
門窗維護;ㄇㄣㄔㄨㄤㄨㄟㄏㄨ;menchuangweihu
魚池顧問;ㄩㄔㄍㄨㄨㄣ;yuchiguwen
海運進口;ㄏㄞㄩㄣㄐ一ㄣㄎㄡ;haiyunjinkou
去痣;ㄑㄩㄓ;quzhi
駿威汽車配件專門店;ㄐㄩㄣㄨㄟㄑ一ㄔㄜㄆㄟㄐ一ㄢㄓㄨㄢㄇㄣㄉ一ㄢ,ㄐㄩㄣㄨㄟㄑ一ㄐㄩㄆㄟㄐ一ㄢㄓㄨㄢㄇㄣㄉ一ㄢ;junweiqijupeijianzhuanmendian,junweiqichepeijianzhuanmendian
幸福婚禮喜慶數碼錄影社;ㄒ一ㄥㄈㄨㄏㄨㄣㄌ一ㄒ一ㄑ一ㄥㄕㄨㄚㄇㄚㄌㄨ一ㄥㄕㄜ,ㄒ一ㄥㄈㄨㄏㄨㄣㄌ一ㄒ一ㄑ一ㄥㄕㄨㄇㄚㄌㄨ一ㄥㄕㄜ;xingfuhunlixiqingshuomaluyingshe,xingfuhunlixiqingshumaluyingshe
海報;ㄏㄞㄅㄠ;haibao
羅省牙科中心;ㄌㄨㄛㄒ一ㄥ一ㄚㄎㄜㄓㄨㄥㄒ一ㄣ,ㄌㄨㄛㄕㄥ一ㄚㄎㄜㄓㄨㄥㄒ一ㄣ;luoxingyakezhongxin,luoshengyakezhongxin
牙科‧植牙及矯正中心;一ㄚㄎㄜ‧ㄓ一ㄚㄐ一ㄐ一ㄠㄓㄥㄓㄨㄥㄒ一ㄣ;yake‧zhiyajijiaozhengzhongxin
下水管;ㄒ一ㄚㄕㄨㄟㄍㄨㄢ;xiashuiguan
現金;ㄒ一ㄢㄐ一ㄣ;xianjin
永安旅遊;ㄩㄥㄢㄌㄩ一ㄡ;yonganlvyou
滿意裝修─劉先生;ㄇㄢ一ㄓㄨㄤㄒ一ㄡ─ㄌ一ㄡㄒ一ㄢㄕㄥ;manyizhuangxiu─liuxiansheng
去痘;ㄑㄩㄉㄡ;qudou
陽傘;一ㄤㄙㄢ;yangsan
益源蔘茸公司;一ㄩㄢ蔘ㄖㄨㄥㄍㄨㄥㄙ;yiyuan蔘ronggongsi
照片貼紙屋;ㄓㄠㄆ一ㄢㄊ一ㄝㄓㄨ;zhaopiantiezhiwu
莘莘中文學校;ㄕㄣㄕㄣㄓㄨㄥㄨㄣㄒㄩㄝㄐ一ㄠ,ㄕㄣㄕㄣㄓㄨㄥㄨㄣㄒㄩㄝㄒ一ㄠ,ㄕㄣㄒ一ㄣㄓㄨㄥㄨㄣㄒㄩㄝㄐ一ㄠ,ㄕㄣㄒ一ㄣㄓㄨㄥㄨㄣㄒㄩㄝㄒ一ㄠ,ㄒ一ㄣㄕㄣㄓㄨㄥㄨㄣㄒㄩㄝㄐ一ㄠ,ㄒ一ㄣㄕㄣㄓㄨㄥㄨㄣㄒㄩㄝㄒ一ㄠ,ㄒ一ㄣㄒ一ㄣㄓㄨㄥㄨㄣㄒㄩㄝㄐ一ㄠ,ㄒ一ㄣㄒ一ㄣㄓㄨㄥㄨㄣㄒㄩㄝㄒ一ㄠ;shenshenzhongwenxuexiao,shenshenzhongwenxuejiao,shenxinzhongwenxuexiao,shenxinzhongwenxuejiao,xinshenzhongwenxuexiao,xinshenzhongwenxuejiao,xinxinzhongwenxuexiao,xinxinzhongwenxuejiao
青春痘疤;ㄑ一ㄥㄔㄨㄣㄉㄡㄅㄚ;qingchundouba
射擊;ㄕㄜㄐ一;sheji
美國景益景觀建築設計室;ㄇㄟㄍㄨㄛㄐ一ㄥ一ㄐ一ㄥㄍㄨㄢㄐ一ㄢㄓㄨㄕㄜㄐ一ㄕ;meiguojingyijingguanjianzhushejishi
百福茗茶和健康食品用品公司;ㄅㄞㄈㄨㄇ一ㄥㄔㄚㄏㄨㄛㄐ一ㄢㄎㄤㄕㄆ一ㄣㄩㄥㄆ一ㄣㄍㄨㄥㄙ,ㄅㄞㄈㄨㄇ一ㄥㄔㄚㄏㄨㄛㄐ一ㄢㄎㄤㄙㄆ一ㄣㄩㄥㄆ一ㄣㄍㄨㄥㄙ,ㄅㄞㄈㄨㄇ一ㄥㄔㄚㄏㄢㄐ一ㄢㄎㄤㄕㄆ一ㄣㄩㄥㄆ一ㄣㄍㄨㄥㄙ,ㄅㄞㄈㄨㄇ一ㄥㄔㄚㄏㄢㄐ一ㄢㄎㄤㄙㄆ一ㄣㄩㄥㄆ一ㄣㄍㄨㄥㄙ,ㄅㄞㄈㄨㄇ一ㄥㄔㄚㄏㄜㄐ一ㄢㄎㄤㄕㄆ一ㄣㄩㄥㄆ一ㄣㄍㄨㄥㄙ,ㄅㄞㄈㄨㄇ一ㄥㄔㄚㄏㄜㄐ一ㄢㄎㄤㄙㄆ一ㄣㄩㄥㄆ一ㄣㄍㄨㄥㄙ;baifumingchahuojiankangshipinyongpingongsi,baifumingchahuojiankangsipinyongpingongsi,baifumingchahanjiankangshipinyongpingongsi,baifumingchahanjiankangsipinyongpingongsi,baifumingchahejiankangshipinyongpingongsi,baifumingchahejiankangsipinyongpingongsi
清理;ㄑ一ㄥㄌ一;qingli
富源樓;ㄈㄨㄩㄢㄌㄡ;fuyuanlou
水機測試;ㄕㄨㄟㄐ一ㄘㄜㄕ;shuijiceshi
去疣;ㄑㄩ一ㄡ;quyou
布料;ㄅㄨㄌ一ㄠ;buliao
劉昌倫會計師;ㄌ一ㄡㄔㄤㄌㄨㄣㄏㄨㄟㄐ一ㄕ,ㄌ一ㄡㄔㄤㄌㄨㄣㄎㄨㄞㄐ一ㄕ;liuchanglunkuaijishi,liuchanglunhuijishi
新天地;ㄒ一ㄣㄊ一ㄢㄉ一,ㄒ一ㄣㄊ一ㄢㄉㄜ;xintiande,xintiandi
紋眉專業用品;ㄨㄣㄇㄟㄓㄨㄢ一ㄝㄩㄥㄆ一ㄣ;wenmeizhuanyeyongpin
精英地產─柯泓任;ㄐ一ㄥ一ㄥㄉ一ㄔㄢ─ㄎㄜㄏㄨㄥㄖㄣ,ㄐ一ㄥ一ㄥㄉㄜㄔㄢ─ㄎㄜㄏㄨㄥㄖㄣ;jingyingdechan─kehongren,jingyingdichan─kehongren
房屋貸款保障;ㄈㄤㄨㄉㄞㄎㄨㄢㄅㄠㄓㄤ;fangwudaikuanbaozhang
神經傳導電圖檢查;ㄕㄣㄐ一ㄥㄓㄨㄢㄉㄠㄉ一ㄢㄊㄨㄐ一ㄢㄔㄚ,ㄕㄣㄐ一ㄥㄓㄨㄢㄉㄠㄉ一ㄢㄊㄨㄐ一ㄢㄓㄚ,ㄕㄣㄐ一ㄥㄔㄨㄢㄉㄠㄉ一ㄢㄊㄨㄐ一ㄢㄔㄚ,ㄕㄣㄐ一ㄥㄔㄨㄢㄉㄠㄉ一ㄢㄊㄨㄐ一ㄢㄓㄚ;shenjingchuandaodiantujianzha,shenjingchuandaodiantujiancha,shenjingzhuandaodiantujianzha,shenjingzhuandaodiantujiancha
蛋塔;ㄉㄢㄊㄚ;danta
糖冬瓜;ㄊㄤㄉㄨㄥㄍㄨㄚ;tangdonggua
電腦零件;ㄉ一ㄢㄋㄠㄌ一ㄥㄐ一ㄢ;diannaolingjian
眼藥水;一ㄢ一ㄠㄕㄨㄟ;yanyaoshui
恩典坊蛋糕;ㄣㄉ一ㄢㄈㄤㄉㄢㄍㄠ;endianfangdangao
紙盒製造;ㄓㄏㄜㄓㄗㄠ;zhihezhizao
史坦福學院;ㄕㄊㄢㄈㄨㄒㄩㄝㄩㄢ;shitanfuxueyuan
薄尚樂律師樓;ㄅㄨㄕㄤㄌㄜㄌㄩㄕㄌㄡ,ㄅㄨㄕㄤㄩㄝㄌㄩㄕㄌㄡ,ㄅㄛㄕㄤㄌㄜㄌㄩㄕㄌㄡ,ㄅㄛㄕㄤㄩㄝㄌㄩㄕㄌㄡ,ㄅㄠㄕㄤㄌㄜㄌㄩㄕㄌㄡ,ㄅㄠㄕㄤㄩㄝㄌㄩㄕㄌㄡ;baoshanglelvshilou,baoshangyuelvshilou,boshanglelvshilou,boshangyuelvshilou,bushanglelvshilou,bushangyuelvshilou
膽道鏡;ㄉㄢㄉㄠㄐ一ㄥ;dandaojing
汽車玻璃除霧;ㄑ一ㄔㄜㄅㄛㄌ一ㄔㄨㄨ,ㄑ一ㄐㄩㄅㄛㄌ一ㄔㄨㄨ;qijubolichuwu,qichebolichuwu
劉柳生會計師;ㄌ一ㄡㄌ一ㄡㄕㄥㄏㄨㄟㄐ一ㄕ,ㄌ一ㄡㄌ一ㄡㄕㄥㄎㄨㄞㄐ一ㄕ;liuliushengkuaijishi,liuliushenghuijishi
外籍報稅;ㄨㄞㄐ一ㄅㄠㄕㄨㄟ;waijibaoshui
王君怡傢俱;ㄨㄤㄐㄩㄣ一ㄐ一ㄚㄐㄩ;wangjunyijiaju
聖塔莫妮卡奧迪;ㄕㄥㄊㄚㄇㄛㄋ一ㄎㄚㄠㄉ一,ㄕㄥㄊㄚㄇㄛㄋ一ㄑ一ㄚㄠㄉ一;shengtamonikaaodi,shengtamoniqiaaodi
鹼性電解水;ㄐ一ㄢㄒ一ㄥㄉ一ㄢㄐ一ㄝㄕㄨㄟ,ㄐ一ㄢㄒ一ㄥㄉ一ㄢㄒ一ㄝㄕㄨㄟ;jianxingdianjieshui,jianxingdianxieshui
素菜館;ㄙㄨㄘㄞㄍㄨㄢ;sucaiguan
聯華公司;ㄌ一ㄢㄏㄨㄚㄍㄨㄥㄙ;lianhuagongsi
庭園整理;ㄊ一ㄥㄩㄢㄓㄥㄌ一;tingyuanzhengli
飯店警衛;ㄈㄢㄉ一ㄢㄐ一ㄥㄨㄟ;fandianjingwei
跨國公司經理移民;ㄎㄨㄚㄍㄨㄛㄍㄨㄥㄙㄐ一ㄥㄌ一一ㄇ一ㄣ;kuaguogongsijingliyimin
喪禮規劃;ㄙㄤㄌ一ㄍㄨㄟㄏㄨㄚ;sangliguihua
瑞龍地毯公司;ㄖㄨㄟㄌㄨㄥㄉ一ㄊㄢㄍㄨㄥㄙ,ㄖㄨㄟㄌㄨㄥㄉㄜㄊㄢㄍㄨㄥㄙ;ruilongdetangongsi,ruilongditangongsi
壽鞋;ㄕㄡㄒ一ㄝ;shouxie
